tempo_h;X_g_L;S_g_L;P_g_L
12,650000;8,593144;197,881629;11,389716
12,700000;8,666179;197,620788;11,499269
12,750000;8,739831;197,357748;11,609746
12,800000;8,814102;197,092492;11,721153
12,850000;8,888999;196,825002;11,833499
12,900000;8,964527;196,555259;11,946791
12,950000;9,040691;196,283245;12,061037
13,000000;9,117497;196,008940;12,176245
13,050000;9,194948;195,732327;12,292423
13,100000;9,273052;195,453386;12,409578
13,150000;9,351813;195,172097;12,527719
13,200000;9,431236;194,888441;12,646855
13,250000;9,511328;194,602400;12,766992
13,300000;9,592093;194,313952;12,888140
13,350000;9,673538;194,023080;13,010306
13,400000;9,755667;193,729762;13,133500
13,450000;9,838486;193,433980;13,257729
13,500000;9,922001;193,135712;13,383001
13,550000;10,006217;192,834938;13,509326
13,600000;10,091141;192,531638;13,636712
13,650000;10,176779;192,225791;13,765168
13,700000;10,263135;191,917376;13,894702
13,750000;10,350216;191,606373;14,025323
13,800000;10,438027;191,292760;14,157041
13,850000;10,526576;190,976515;14,289864
13,900000;10,615867;190,657618;14,423801
13,950000;10,705907;190,336046;14,558861
14,000000;10,796702;190,011778;14,695053
14,050000;10,888258;189,684792;14,832388
14,100000;10,980582;189,355065;14,970873
14,150000;11,073679;189,022575;15,110518
14,200000;11,167556;188,687301;15,251334
14,250000;11,262219;188,349218;15,393329
14,300000;11,357675;188,008304;15,536512
14,350000;11,453930;187,664537;15,680894
14,400000;11,550990;187,317893;15,826485
14,450000;11,648862;186,968349;15,973294
14,500000;11,747553;186,615881;16,121330
14,550000;11,847070;186,260466;16,270604
14,600000;11,947418;185,902079;16,421127
14,650000;12,048605;185,540697;16,572907
14,700000;12,150637;185,176296;16,725956
14,750000;12,253522;184,808851;16,880283
14,800000;12,357266;184,438337;17,035898
14,850000;12,461875;184,064731;17,192813
14,900000;12,567358;183,688006;17,351037
14,950000;12,673721;183,308139;17,510582
15,000000;12,780971;182,925103;17,671457
15,050000;12,889115;182,538873;17,833673
15,100000;12,998161;182,149425;17,997242
15,150000;13,108115;181,756731;18,162173
15,200000;13,218985;181,360767;18,328478
15,250000;13,330778;180,961505;18,496168
15,300000;13,443502;180,558920;18,665253
15,350000;13,557164;180,152985;18,835746
15,400000;13,671771;179,743674;19,007657
15,450000;13,787332;179,330958;19,180998
15,500000;13,903853;178,914812;19,355779
15,550000;14,021342;178,495208;19,532013
15,600000;14,139807;178,072118;19,709711
15,650000;14,259256;177,645514;19,888884
15,700000;14,379696;177,215370;20,069545
15,750000;14,501136;176,781657;20,251704
15,800000;14,623583;176,344346;20,435375
15,850000;14,747046;175,903409;20,620568
15,900000;14,871531;175,458817;20,807297
15,950000;14,997048;175,010543;20,995572
16,000000;15,123604;174,558556;21,185407
16,050000;15,251208;174,102827;21,376813
16,100000;15,379868;173,643328;21,569802
16,150000;15,509592;173,180028;21,764388
16,200000;15,640389;172,712898;21,960583
