tempo_h;X_g_L;S_g_L;P_g_L
24,250000;43,899996;0,000015;64,649993
24,300000;43,899996;0,000014;64,649994
24,350000;43,899996;0,000013;64,649994
24,400000;43,899997;0,000012;64,649995
24,450000;43,899997;0,000011;64,649995
24,500000;43,899997;0,000010;64,649996
24,550000;43,899997;0,000009;64,649996
24,600000;43,899998;0,000009;64,649996
24,650000;43,899998;0,000008;64,649997
24,700000;43,899998;0,000007;64,649997
24,750000;43,899998;0,000007;64,649997
24,800000;43,899998;0,000006;64,649997
24,850000;43,899998;0,000006;64,649998
24,900000;43,899999;0,000005;64,649998
24,950000;43,899999;0,000005;64,649998
25,000000;43,899999;0,000004;64,649998
25,050000;43,899999;0,000004;64,649998
25,100000;43,899999;0,000004;64,649998
25,150000;43,899999;0,000003;64,649999
25,200000;43,899999;0,000003;64,649999
25,250000;43,899999;0,000003;64,649999
25,300000;43,899999;0,000003;64,649999
25,350000;43,899999;0,000002;64,649999
25,400000;43,899999;0,000002;64,649999
25,450000;43,899999;0,000002;64,649999
25,500000;43,899999;0,000002;64,649999
25,550000;43,899999;0,000002;64,649999
25,600000;43,900000;0,000002;64,649999
25,650000;43,900000;0,000002;64,649999
25,700000;43,900000;0,000001;64,649999
25,750000;43,900000;0,000001;64,649999
25,800000;43,900000;0,000001;64,649999
25,850000;43,900000;0,000001;64,650000
25,900000;43,900000;0,000001;64,650000
25,950000;43,900000;0,000001;64,650000
26,000000;43,900000;0,000001;64,650000
26,050000;43,900000;0,000001;64,650000
26,100000;43,900000;0,000001;64,650000
26,150000;43,900000;0,000001;64,650000
26,200000;43,900000;0,000001;64,650000
26,250000;43,900000;0,000001;64,650000
26,300000;43,900000;0,000001;64,650000
26,350000;43,900000;0,000000;64,650000
26,400000;43,900000;0,000000;64,650000
26,450000;43,900000;0,000000;64,650000
26,500000;43,900000;0,000000;64,650000
26,550000;43,900000;0,000000;64,650000
26,600000;43,900000;0,000000;64,650000
26,650000;43,900000;0,000000;64,650000
26,700000;43,900000;0,000000;64,650000
26,750000;43,900000;0,000000;64,650000
26,800000;43,900000;0,000000;64,650000
26,850000;43,900000;0,000000;64,650000
26,900000;43,900000;0,000000;64,650000
26,950000;43,900000;0,000000;64,650000
27,000000;43,900000;0,000000;64,650000
27,050000;43,900000;0,000000;64,650000
27,100000;43,900000;0,000000;64,650000
27,150000;43,900000;0,000000;64,650000
27,200000;43,900000;0,000000;64,650000
27,250000;43,900000;0,000000;64,650000
27,300000;43,900000;0,000000;64,650000
27,350000;43,900000;0,000000;64,650000
27,400000;43,900000;0,000000;64,650000
27,450000;43,900000;0,000000;64,650000
27,500000;43,900000;0,000000;64,650000
27,550000;43,900000;0,000000;64,650000
27,600000;43,900000;0,000000;64,650000
27,650000;43,900000;0,000000;64,650000
27,700000;43,900000;0,000000;64,650000
27,750000;43,900000;0,000000;64,650000
27,800000;43,900000;0,000000;64,650000
27,850000;43,900000;0,000000;64,650000
27,900000;43,900000;0,000000;64,650000
27,950000;43,900000;0,000000;64,650000
28,000000;43,900000;0,000000;64,650000
28,050000;43,900000;0,000000;64,650000
28,100000;43,900000;0,000000;64,650000
28,150000;43,900000;0,000000;64,650000
28,200000;43,900000;0,000000;64,650000
28,250000;43,900000;0,000000;64,650000
28,300000;43,900000;0,000000;64,650000
28,350000;43,900000;0,000000;64,650000
28,400000;43,900000;0,000000;64,650000
28,450000;43,900000;0,000000;64,650000
28,500000;43,900000;0,000000;64,650000
28,550000;43,900000;0,000000;64,650000
28,600000;43,900000;0,000000;64,650000
28,650000;43,900000;0,000000;64,650000
28,700000;43,900000;0,000000;64,650000
28,750000;43,900000;0,000000;64,650000
28,800000;43,900000;0,000000;64,650000
28,850000;43,900000;0,000000;64,650000
28,900000;43,900000;0,000000;64,650000
28,950000;43,900000;0,000000;64,650000
29,000000;43,900000;0,000000;64,650000
29,050000;43,900000;0,000000;64,650000
29,100000;43,900000;0,000000;64,650000
29,150000;43,900000;0,000000;64,650000
29,200000;43,900000;0,000000;64,650000
29,250000;43,900000;0,000000;64,650000
29,300000;43,900000;0,000000;64,650000
29,350000;43,900000;0,000000;64,650000
29,400000;43,900000;0,000000;64,650000
29,450000;43,900000;0,000000;64,650000
29,500000;43,900000;0,000000;64,650000
29,550000;43,900000;0,000000;64,650000
29,600000;43,900000;0,000000;64,650000
29,650000;43,900000;0,000000;64,650000
29,700000;43,900000;0,000000;64,650000
29,750000;43,900000;0,000000;64,650000
29,800000;43,900000;0,000000;64,650000
29,850000;43,900000;0,000000;64,650000
29,900000;43,900000;0,000000;64,650000
29,950000;43,900000;0,000000;64,650000
30,000000;43,900000;0,000000;64,650000
30,050000;43,900000;0,000000;64,650000
30,100000;43,900000;0,000000;64,650000
30,150000;43,900000;0,000000;64,650000
30,200000;43,900000;0,000000;64,650000
30,250000;43,900000;0,000000;64,650000
30,300000;43,900000;0,000000;64,650000
30,350000;43,900000;0,000000;64,650000
30,400000;43,900000;0,000000;64,650000
30,450000;43,900000;0,000000;64,650000
30,500000;43,900000;0,000000;64,650000
30,550000;43,900000;0,000000;64,650000
30,600000;43,900000;0,000000;64,650000
30,650000;43,900000;0,000000;64,650000
30,700000;43,900000;0,000000;64,650000
30,750000;43,900000;0,000000;64,650000
30,800000;43,900000;0,000000;64,650000
30,850000;43,900000;0,000000;64,650000
30,900000;43,900000;0,000000;64,650000
30,950000;43,900000;0,000000;64,650000
31,000000;43,900000;0,000000;64,650000
31,050000;43,900000;0,000000;64,650000
31,100000;43,900000;0,000000;64,650000
31,150000;43,900000;0,000000;64,650000
31,200000;43,900000;0,000000;64,650000
31,250000;43,900000;0,000000;64,650000
31,300000;43,900000;0,000000;64,650000
31,350000;43,900000;0,000000;64,650000
31,400000;43,900000;0,000000;64,650000
31,450000;43,900000;0,000000;64,650000
31,500000;43,900000;0,000000;64,650000
31,550000;43,900000;0,000000;64,650000
31,600000;43,900000;0,000000;64,650000
31,650000;43,900000;0,000000;64,650000
31,700000;43,900000;0,000000;64,650000
31,750000;43,900000;0,000000;64,650000
31,800000;43,900000;0,000000;64,650000
31,850000;43,900000;-0,000000;64,650000
31,900000;43,900000;-0,000000;64,650000
31,950000;43,900000;-0,000000;64,650000
32,000000;43,900000;-0,000000;64,650000
32,050000;43,900000;-0,000000;64,650000
32,100000;43,900000;-0,000000;64,650000
32,150000;43,900000;-0,000000;64,650000
32,200000;43,900000;-0,000000;64,650000
32,250000;43,900000;-0,000000;64,650000
32,300000;43,900000;-0,000000;64,650000
32,350000;43,900000;-0,000000;64,650000
32,400000;43,900000;-0,000000;64,650000
32,450000;43,900000;-0,000000;64,650000
32,500000;43,900000;-0,000000;64,650000
32,550000;43,900000;-0,000000;64,650000
32,600000;43,900000;-0,000000;64,650000
32,650000;43,900000;-0,000000;64,650000
32,700000;43,900000;0,000000;64,650000
32,750000;43,900000;0,000000;64,650000
32,800000;43,900000;0,000000;64,650000
32,850000;43,900000;0,000000;64,650000
32,900000;43,900000;0,000000;64,650000
32,950000;43,900000;0,000000;64,650000
33,000000;43,900000;0,000000;64,650000
33,050000;43,900000;0,000000;64,650000
33,100000;43,900000;0,000000;64,650000
33,150000;43,900000;0,000000;64,650000
33,200000;43,900000;0,000000;64,650000
33,250000;43,900000;0,000000;64,650000
33,300000;43,900000;0,000000;64,650000
33,350000;43,900000;0,000000;64,650000
33,400000;43,900000;0,000000;64,650000
33,450000;43,900000;0,000000;64,650000
33,500000;43,900000;0,000000;64,650000
33,550000;43,900000;0,000000;64,650000
33,600000;43,900000;-0,000000;64,650000
33,650000;43,900000;-0,000000;64,650000
33,700000;43,900000;-0,000000;64,650000
33,750000;43,900000;-0,000000;64,650000
33,800000;43,900000;-0,000000;64,650000
33,850000;43,900000;-0,000000;64,650000
33,900000;43,900000;-0,000000;64,650000
33,950000;43,900000;-0,000000;64,650000
34,000000;43,900000;-0,000000;64,650000
34,050000;43,900000;-0,000000;64,650000
34,100000;43,900000;-0,000000;64,650000
34,150000;43,900000;-0,000000;64,650000
34,200000;43,900000;-0,000000;64,650000
34,250000;43,900000;-0,000000;64,650000
34,300000;43,900000;-0,000000;64,650000
34,350000;43,900000;-0,000000;64,650000
34,400000;43,900000;-0,000000;64,650000
34,450000;43,900000;-0,000000;64,650000
34,500000;43,900000;-0,000000;64,650000
34,550000;43,900000;-0,000000;64,650000
34,600000;43,900000;-0,000000;64,650000
34,650000;43,900000;-0,000000;64,650000
