tempo_h;X_g_L;S_g_L;P_g_L
10,500000;5,707296;133,188228;7,060944
10,550000;5,754551;133,019460;7,131827
10,600000;5,802193;132,849312;7,203289
10,650000;5,850224;132,677773;7,275336
10,700000;5,898647;132,504831;7,347971
10,750000;5,947467;132,330477;7,421200
10,800000;5,996685;132,154698;7,495027
10,850000;6,046305;131,977483;7,569457
10,900000;6,096330;131,798821;7,644495
10,950000;6,146764;131,618700;7,720146
11,000000;6,197609;131,437109;7,796414
11,050000;6,248870;131,254037;7,873304
11,100000;6,300548;131,069471;7,950822
11,150000;6,352648;130,883400;8,028972
11,200000;6,405173;130,695812;8,107759
11,250000;6,458125;130,506695;8,187188
11,300000;6,511510;130,316036;8,267265
11,350000;6,565329;130,123825;8,347994
11,400000;6,619587;129,930047;8,429380
11,450000;6,674286;129,734692;8,511429
11,500000;6,729431;129,537747;8,594146
11,550000;6,785024;129,339199;8,677536
11,600000;6,841070;129,139036;8,761605
11,650000;6,897571;128,937245;8,846357
11,700000;6,954532;128,733813;8,931798
11,750000;7,011956;128,528728;9,017934
11,800000;7,069847;128,321976;9,104770
11,850000;7,128207;128,113545;9,192311
11,900000;7,187042;127,903422;9,280563
11,950000;7,246354;127,691593;9,369531
12,000000;7,306148;127,478044;9,459221
12,050000;7,366426;127,262763;9,549639
12,100000;7,427194;127,045737;9,640791
12,150000;7,488454;126,826951;9,732681
12,200000;7,550210;126,606392;9,825315
12,250000;7,612467;126,384046;9,918701
12,300000;7,675228;126,159900;10,012842
12,350000;7,738497;125,933939;10,107746
12,400000;7,802278;125,706150;10,203417
12,450000;7,866575;125,476518;10,299862
12,500000;7,931392;125,245030;10,397088
12,550000;7,996732;125,011670;10,495099
12,600000;8,062601;124,776425;10,593902
12,650000;8,129002;124,539280;10,693503
12,700000;8,195938;124,300220;10,793908
12,750000;8,263415;124,059231;10,895123
12,800000;8,331437;123,816298;10,997155
12,850000;8,400006;123,571406;11,100009
12,900000;8,469129;123,324540;11,203693
12,950000;8,538808;123,075685;11,308212
13,000000;8,609049;122,824826;11,413573
13,050000;8,679855;122,571947;11,519782
13,100000;8,751230;122,317034;11,626846
13,150000;8,823180;122,060070;11,734770
13,200000;8,895709;121,801041;11,843563
13,250000;8,968820;121,539930;11,953229
13,300000;9,042518;121,276721;12,063777
13,350000;9,116808;121,011400;12,175212
13,400000;9,191694;120,743950;12,287541
13,450000;9,267181;120,474354;12,400771
13,500000;9,343273;120,202597;12,514909
13,550000;9,419974;119,928663;12,629962
13,600000;9,497290;119,652535;12,745935
13,650000;9,575225;119,374197;12,862837
13,700000;9,653783;119,093632;12,980675
13,750000;9,732969;118,810823;13,099454
13,800000;9,812789;118,525755;13,219183
13,850000;9,893245;118,238410;13,339868
13,900000;9,974344;117,948770;13,461516
13,950000;10,056090;117,656821;13,584135
14,000000;10,138488;117,362543;13,707732
14,050000;10,221542;117,065920;13,832314
14,100000;10,305258;116,766935;13,957887
14,150000;10,389640;116,465570;14,084460
14,200000;10,474694;116,161808;14,212040
14,250000;10,560423;115,855632;14,340635
14,300000;10,646834;115,547023;14,470250
14,350000;10,733930;115,235964;14,600895
14,400000;10,821718;114,922437;14,732576
14,450000;10,910201;114,606425;14,865302
14,500000;10,999386;114,287908;14,999079
14,550000;11,089276;113,966870;15,133915
14,600000;11,179878;113,643291;15,269818
14,650000;11,271197;113,317154;15,406795
14,700000;11,363237;112,988440;15,544855
14,750000;11,456003;112,657131;15,684005
14,800000;11,549502;112,323208;15,824253
14,850000;11,643737;111,986652;15,965606
14,900000;11,738715;111,647445;16,108073
14,950000;11,834441;111,305567;16,251662
15,000000;11,930920;110,961001;16,396380
15,050000;12,028157;110,613726;16,542235
15,100000;12,126157;110,263725;16,689236
15,150000;12,224926;109,910977;16,837390
15,200000;12,324470;109,555465;16,986705
15,250000;12,424793;109,197168;17,137190
15,300000;12,525901;108,836066;17,288852
15,350000;12,627800;108,472142;17,441700
15,400000;12,730495;108,105374;17,595743
15,450000;12,833992;107,735743;17,750988
15,500000;12,938296;107,363230;17,907443
15,550000;13,043412;106,987815;18,065118
15,600000;13,149346;106,609478;18,224019
15,650000;13,256104;106,228200;18,384156
15,700000;13,363691;105,843960;18,545537
15,750000;13,472113;105,456739;18,708170
